,BRANCH,2.8.1,2.9.1,4.2.1,4.2.2,4.2.3,4.5.1,4.6.1,4.6.2,4.6.3,5.3.1,5.4.1,5.4.2,5.4.3,5.5.1,5.6.1,6.2.1,6.3.1,6.4.1,6.4.3,6.4.4,6.5.1,6.5.2,7.2.3,9.3.1,9.4.1,9.4.2,9.4.3,9.5.1,9.5.2,9.5.2.1,9.6.1,10.3.1,10.3.2,10.6.1,10.6.2,10.5.1,12.1.1
14,North Brisbane,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,2. Amend before Passing,2. Amend before Passing,2. Amend before Passing,6. Block,2. Amend before Passing,2. Amend before Passing,1. Support - Pass by Consensus,1. Support - Pass by Consensus,4. Workshop,4. Workshop,1. Support - Pass by Consensus,2. Amend before Passing,0. Unknown,1. Support - Pass by Consensus,1. Support - Pass by Consensus,5. Dissent but Won't Block,1. Support - Pass by Consensus,1. Support - Pass by Consensus,4. Workshop,1. Support - Pass by Consensus,5. Dissent but Won't Block,5. Dissent but Won't Block,2. Amend before Passing,6. Block,5. Dissent but Won't Block,0. Unknown,1. Support - Pass by Consensus,6. Block,4. Workshop,0. Unknown,1. Support - Pass by Consensus
15,North Pine,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,6. Block,5. Dissent but Won't Block,5. Dissent but Won't Block,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,5. Dissent but Won't Block,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,2. Amend before Passing,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,7. Need more Info,1. Support - Pass by Consensus,7. Need more Info,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,4. Workshop
16,Pine Rivers,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,6. Block,5. Dissent but Won't Block,5. Dissent but Won't Block,1. Support - Pass by Consensus,2. Amend before Passing,2. Amend before Passing,1. Support - Pass by Consensus,5. Dissent but Won't Block,5. Dissent but Won't Block,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,5. Dissent but Won't Block,1. Support - Pass by Consensus,5. Dissent but Won't Block,1. Support - Pass by Consensus,2. Amend before Passing,1. Support - Pass by Consensus,1. Support - Pass by Consensus,2. Amend before Passing,1. Support - Pass by Consensus,1. Support - Pass by Consensus,2. Amend before Passing,7. Need more Info,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,4. Workshop
17,Redlands,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,5. Dissent but Won't Block,5. Dissent but Won't Block,8. Abstain,1. Support - Pass by Consensus,1. Support - Pass by Consensus,0. Unknown,0. Unknown,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,0. Unknown,8. Abstain,0. Unknown,1. Support - Pass by Consensus,8. Abstain,8. Abstain,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,7. Need more Info,0. Unknown,0. Unknown,1. Support - Pass by Consensus,0. Unknown
18,Sandgate,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,6. Block,5. Dissent but Won't Block,2. Amend before Passing,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,0. Unknown,2. Amend before Passing,1. Support - Pass by Consensus,1. Support - Pass by Consensus,2. Amend before Passing,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,6. Block,0. Unknown,1. Support - Pass by Consensus,8. Abstain,1. Support - Pass by Consensus,6. Block,0. Unknown,1. Support - Pass by Consensus,7. Need more Info,0. Unknown,1. Support - Pass by Consensus,0. Unknown,7. Need more Info,0. Unknown,0. Unknown,1. Support - Pass by Consensus,4. Workshop
19,Scenic Rim,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown
20,South Brisbane,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,6. Block,5. Dissent but Won't Block,5. Dissent but Won't Block,1. Support - Pass by Consensus,2. Amend before Passing,4. Workshop,1. Support - Pass by Consensus,4. Workshop,4. Workshop,2. Amend before Passing,1. Support - Pass by Consensus,6. Block,0. Unknown,1. Support - Pass by Consensus,4. Workshop,4. Workshop,1. Support - Pass by Consensus,6. Block,1. Support - Pass by Consensus,6. Block,0. Unknown,1. Support - Pass by Consensus,0. Unknown,1. Support - Pass by Consensus,6. Block,2. Amend before Passing,7. Need more Info,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,0. Unknown
21,South West Brisbane,1. Support - Pass by Consensus,1. Support - Pass by Consensus,8. Abstain,0. Unknown,1. Support - Pass by Consensus,1. Support - Pass by Consensus,5. Dissent but Won't Block,5. Dissent but Won't Block,2. Amend before Passing,4. Workshop,4. Workshop,4. Workshop,4. Workshop,4. Workshop,4. Workshop,4. Workshop,1. Support - Pass by Consensus,2. Amend before Passing,8. Abstain,1. Support - Pass by Consensus,1. Support - Pass by Consensus,6. Block,1. Support - Pass by Consensus,1. Support - Pass by Consensus,0. Unknown,0. Unknown,0. Unknown,6. Block,4. Workshop,4. Workshop,6. Block,0. Unknown,1. Support - Pass by Consensus,6. Block,6. Block,1. Support - Pass by Consensus,0. Unknown
22,Tablelands & Northern Qld,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,6. Block,8. Abstain,5. Dissent but Won't Block,1. Support - Pass by Consensus,1. Support - Pass by Consensus,0. Unknown,0. Unknown,6. Block,5. Dissent but Won't Block,1. Support - Pass by Consensus,1. Support - Pass by Consensus,5. Dissent but Won't Block,1. Support - Pass by Consensus,0. Unknown,2. Amend before Passing,0. Unknown,1. Support - Pass by Consensus,6. Block,1. Support - Pass by Consensus,5. Dissent but Won't Block,0. Unknown,1. Support - Pass by Consensus,1. Support - Pass by Consensus,0. Unknown,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,0. Unknown,0. Unknown,1. Support - Pass by Consensus,0. Unknown
23,Toowoomba & Western Qld,0. Unknown,1. Support - Pass by Consensus,0. Unknown,0. Unknown,0. Unknown,0. Unknown,4. Workshop,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,1. Support - Pass by Consensus,0. Unknown,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,0. Unknown,1. Support - Pass by Consensus,0. Unknown,0. Unknown,0. Unknown,4. Workshop,0. Unknown,0. Unknown,0. Unknown,0. Unknown,1. Support - Pass by Consensus,0. Unknown,0. Unknown,0. Unknown,0. Unknown
24,Top End,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown
25,Townsville,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,5. Dissent but Won't Block,5. Dissent but Won't Block,0. Unknown,0. Unknown,1. Support - Pass by Consensus,1. Support - Pass by Consensus,7. Need more Info,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,6. Block,0. Unknown,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,0. Unknown,1. Support - Pass by Consensus,2. Amend before Passing,1. Support - Pass by Consensus,5. Dissent but Won't Block,1. Support - Pass by Consensus,7. Need more Info,6. Block,6. Block,1. Support - Pass by Consensus,1. Support - Pass by Consensus
26,West Brisbane,0. Unknown,0. Unknown,0. Unknown,0. Unknown,0. Unknown,1. Support - Pass by Consensus,1. Support - Pass by Consensus,0. Unknown,1. Support - Pass by Consensus,6. Block,2. Amend before Passing,6. Block,1. Support - Pass by Consensus,1. Support - Pass by Consensus,0. Unknown,5. Dissent but Won't Block,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,0. Unknown,1. Support - Pass by Consensus,0. Unknown,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,0. Unknown,1. Support - Pass by Consensus,1. Support - Pass by Consensus,0. Unknown,5. Dissent but Won't Block,1. Support - Pass by Consensus,7. Need more Info,0. Unknown,0. Unknown,1. Support - Pass by Consensus,1. Support - Pass by Consensus
27,Yeerongpilly,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,6. Block,5. Dissent but Won't Block,2. Amend before Passing,1. Support - Pass by Consensus,1. Support - Pass by Consensus,1. Support - Pass by Consensus,5. Dissent but Won't Block,6. Block,6. Block,1. Support - Pass by Consensus,2. Amend before Passing,1. Support - Pass by Consensus,0. Unknown,1. Support - Pass by Consensus,6. Block,6. Block,1. Support - Pass by Consensus,6. Block,1. Support - Pass by Consensus,6. Block,1. Support - Pass by Consensus,2. Amend before Passing,2. Amend before Passing,1. Support - Pass by Consensus,5. Dissent but Won't Block,2. Amend before Passing,7. Need more Info,8. Abstain,8. Abstain,1. Support - Pass by Consensus,6. Block
